,ENSG00000242268.2,ENSG00000259041.1,ENSG00000270112.3,ENSG00000167578.16,ENSG00000078237.5,ENSG00000269416.5,ENSG00000146083.11,ENSG00000158486.13,ENSG00000273639.4,ENSG00000198242.13,ENSG00000231981.3,ENSG00000269475.2,ENSG00000134108.12,ENSG00000261030.1,ENSG00000172137.18,ENSG00000276644.4,ENSG00000240423.1,ENSG00000271616.1,ENSG00000234881.1,ENSG00000236040.1,ENSG00000231105.1,ENSG00000094963.13,ENSG00000182141.9,ENSG00000280143.1,ENSG00000251334.2,ENSG00000231112.1,ENSG00000258610.1,ENSG00000264981.1,ENSG00000275265.1,ENSG00000185105.4,ENSG00000233540.1,ENSG00000102174.8,ENSG00000166391.14,ENSG00000232001.1,ENSG00000270469.1,ENSG00000234253.1,ENSG00000070087.13,ENSG00000262950.1,ENSG00000255420.1,ENSG00000280038.1,ENSG00000153561.12,ENSG00000251538.5,ENSG00000269148.1,ENSG00000253438.2,ENSG00000235411.1,ENSG00000179262.9,ENSG00000278099.1,ENSG00000104833.10,ENSG00000166368.2,ENSG00000206072.12,ENSG00000006695.10,ENSG00000258630.1,ENSG00000187513.8,ENSG00000225269.2,ENSG00000214062.5,ENSG00000095587.8,ENSG00000167700.8,ENSG00000274219.1,ENSG00000254102.1,ENSG00000265096.1,ENSG00000064601.16,ENSG00000227766.1,ENSG00000008517.16,ENSG00000261475.2,ENSG00000229637.3,ENSG00000266644.1,ENSG00000227896.2,ENSG00000214541.3,ENSG00000070081.15,ENSG00000166634.6,ENSG00000275479.1,ENSG00000112309.10,ENSG00000261789.1,ENSG00000254092.1,ENSG00000158480.10,ENSG00000197421.9,ENSG00000280171.1,ENSG00000260900.1,ENSG00000266579.1,ENSG00000278732.1,ENSG00000196167.9,ENSG00000264438.2,ENSG00000254131.1,ENSG00000118972.1,ENSG00000264104.1,ENSG00000179833.4,ENSG00000165312.6,ENSG00000159618.15,ENSG00000064225.12,ENSG00000250571.6,ENSG00000057294.13,ENSG00000226530.1,ENSG00000134709.10,ENSG00000166007.11,ENSG00000171861.10,ENSG00000278923.1,ENSG00000167768.4,ENSG00000273637.1,ENSG00000280159.1,ENSG00000232216.1
GTEX-S4Q7-0003-SM-3NM8M,-3.458,-9.9658,-3.6259,4.5988,2.2633,-6.5064,5.7811,-4.2934,-9.9658,11.3645,-9.9658,-9.9658,5.878,-2.3147,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.8262,-3.3076,2.6647,1.3567,-9.9658,-9.9658,-0.4521,-9.9658,-9.9658,-0.8863,-9.9658,-2.5479,-3.458,-9.9658,-9.9658,-9.9658,3.0791,-9.9658,-9.9658,-4.2934,4.1244,-9.9658,-0.0574,-9.9658,-4.2934,6.4898,-9.9658,0.7664,-9.9658,-9.9658,3.5742,-9.9658,-3.6259,-9.9658,-3.458,-5.0116,1.5563,-9.9658,1.3511,-9.9658,5.7578,1.736,9.0122,-9.9658,-9.9658,-2.2447,-0.3383,-3.1714,4.2699,-9.9658,3.2841,-0.1828,-9.9658,-9.9658,2.6556,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,0.8488,-9.9658,-9.9658,-9.9658,-9.9658,4.8714,3.3717,1.8683,2.2082,3.5374,-2.3884,-9.9658,4.864,-9.9658,4.0109,-9.9658,0.7058,-9.9658,-9.9658,-9.9658
TCGA-19-1787-01,-9.9658,-9.9658,-3.816,5.2998,3.5086,0.8647,4.2465,-5.0116,-9.9658,10.1571,-9.9658,-9.9658,5.5775,-9.9658,7.8896,-2.0529,-3.816,-9.9658,-4.035,-9.9658,-1.8314,1.5266,1.8918,1.1577,-9.9658,-9.9658,3.7614,-9.9658,-3.458,-3.458,-9.9658,2.1894,-5.5735,-9.9658,-9.9658,-4.2934,7.7651,-9.9658,-5.5735,-3.816,4.579,-9.9658,-1.4699,-3.3076,-2.3147,6.7856,-9.9658,6.6672,-9.9658,-9.9658,2.5112,-9.9658,2.7826,-9.9658,-9.9658,-0.4921,3.1924,-9.9658,-3.458,-4.6082,6.6706,2.5948,4.4529,-9.9658,2.5036,-3.3076,-1.6394,-2.1779,6.6795,-9.9658,-9.9658,3.1908,-9.9658,-9.9658,2.9338,-9.9658,-1.9942,-9.9658,-9.9658,-9.9658,2.6043,-9.9658,-3.1714,-9.9658,-9.9658,2.1313,2.5112,-1.2828,3.5374,4.4054,-3.816,-0.6193,-5.0116,-9.9658,3.9774,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658
TCGA-S9-A7J2-01,0.2998,-9.9658,-3.0469,4.8881,2.3019,-1.0262,5.3806,-9.9658,-9.9658,9.7664,-9.9658,-2.8262,5.8205,-9.9658,2.8502,1.1641,-4.2934,-9.9658,-9.9658,-9.9658,-4.6082,-0.3383,3.5009,1.0363,-9.9658,-9.9658,4.8535,-9.9658,-9.9658,-1.8314,-9.9658,-2.7274,-9.9658,-2.6349,-4.6082,-9.9658,8.3059,-9.9658,-9.9658,-1.2142,3.981,-9.9658,-2.8262,-9.9658,-9.9658,6.9392,-9.9658,6.9974,-9.9658,-9.9658,3.2796,-9.9658,1.7617,-9.9658,-4.2934,-2.1779,5.0553,-9.9658,-9.9658,-9.9658,6.5212,1.0573,3.8551,-9.9658,-9.9658,-3.816,0.3115,-9.9658,5.5925,-9.9658,2.3732,4.7312,-5.5735,-3.1714,3.8954,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-0.6193,-9.9658,-1.5951,-9.9658,-9.9658,3.5073,3.9166,-3.816,3.0944,4.3841,0.6699,0.8327,-5.5735,-9.9658,3.8116,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658
GTEX-QV31-1626-SM-2S1QC,-9.9658,-9.9658,-2.1779,4.6294,1.9931,-9.9658,3.8279,-9.9658,-9.9658,10.2301,-9.9658,-9.9658,5.9378,-9.9658,-0.5756,-0.9406,-9.9658,-9.9658,-9.9658,-9.9658,-1.3548,4.8213,1.5563,8.9885,-9.9658,-9.9658,3.2944,-9.9658,-9.9658,-9.9658,-9.9658,-3.0469,-9.9658,-9.9658,-1.0862,-9.9658,6.5143,-9.9658,-9.9658,-1.5105,3.5224,-9.9658,-0.5756,-9.9658,-3.3076,6.9595,-9.9658,-1.0559,-9.9658,-9.9658,3.4997,-9.9658,6.0317,-9.9658,-9.9658,-3.0469,1.5806,-9.9658,-9.9658,-2.8262,6.6388,0.3796,3.9929,-9.9658,-9.9658,-9.9658,-0.3752,-1.2828,6.2585,-9.9658,-9.9658,0.3231,-9.9658,-9.9658,1.5415,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.9942,-9.9658,-9.9658,-9.9658,-9.9658,3.6289,2.3019,-4.6082,2.1509,3.8896,-0.0877,-9.9658,-4.6082,-9.9658,2.8178,-9.9658,2.8799,-9.9658,-0.394,-9.9658
TCGA-G3-A3CH-11,-9.9658,-9.9658,-9.9658,3.5572,0.099,-9.9658,1.8323,-9.9658,-9.9658,8.3725,-9.9658,-9.9658,3.5022,-9.9658,-9.9658,-1.1488,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.0862,-1.1172,-1.2142,-9.9658,-9.9658,0.8488,-9.9658,-3.6259,-9.9658,-9.9658,-5.5735,5.7377,-9.9658,-9.9658,-9.9658,2.1509,-9.9658,-9.9658,-9.9658,3.7269,-9.9658,-4.6082,-6.5064,-9.9658,5.7217,-9.9658,-1.3921,-9.9658,-9.9658,1.884,-3.458,2.8219,-9.9658,-9.9658,-9.9658,4.0153,-9.9658,-4.2934,-3.458,6.0646,0.2154,8.7435,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,5.0343,-9.9658,-9.9658,-3.816,-9.9658,-9.9658,0.3907,-1.9379,-9.9658,-9.9658,-9.9658,-9.9658,-2.114,-9.9658,-9.9658,-6.5064,-9.9658,1.9415,1.196,-1.4305,4.6899,1.3735,2.4171,-9.9658,2.609,-9.9658,3.2572,-9.9658,-9.9658,-9.9658,-9.9658,0.3796
TCGA-B5-A5OE-01,-9.9658,-9.9658,-9.9658,5.0858,1.6512,1.4859,3.4556,-1.4699,-9.9658,10.781,-9.9658,-9.9658,5.7439,-9.9658,0.9493,-1.8836,-2.4659,-9.9658,-9.9658,-9.9658,-1.0862,-4.6082,1.3397,0.1776,-9.9658,-9.9658,3.2481,-9.9658,-3.1714,-2.2447,-9.9658,-4.035,-6.5064,-9.9658,-5.5735,-9.9658,4.2728,-9.9658,-9.9658,-5.0116,3.7475,-9.9658,-4.2934,-3.458,-5.0116,6.3254,-9.9658,3.1062,-9.9658,-9.9658,2.6278,-9.9658,1.8996,-9.9658,-9.9658,-1.6394,5.1264,-9.9658,-6.5064,-9.9658,8.1828,-1.8836,5.8836,-9.9658,3.7421,-3.0469,-1.5105,-4.035,4.9773,-9.9658,4.4216,-4.035,-9.9658,-3.0469,2.872,4.2833,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,2.8199,4.3716,-4.035,3.5899,5.1704,2.5238,-9.9658,4.2556,-9.9658,4.5142,-9.9658,-5.0116,-6.5064,-6.5064,-3.0469
GTEX-13QIC-0011-R1a-SM-5O9CJ,-9.9658,-9.9658,-1.8314,6.4989,1.1577,-1.9942,4.0331,-3.6259,-9.9658,9.3463,-9.9658,-4.6082,5.2706,-9.9658,2.9432,-2.3884,-2.0529,-9.9658,-9.9658,-9.9658,-2.5479,-0.9686,3.1924,1.46,-9.9658,-9.9658,3.3563,-9.9658,-9.9658,-5.5735,-9.9658,-0.6193,-9.9658,-3.3076,-3.3076,-9.9658,6.3459,-9.9658,-9.9658,-1.8314,3.9487,-9.9658,-1.5522,-9.9658,-9.9658,5.7241,-9.9658,9.5703,-9.9658,-9.9658,1.3454,-9.9658,1.2023,-9.9658,-4.035,2.1957,3.0706,-9.9658,-4.2934,-3.6259,5.1102,0.5763,2.9128,-9.9658,-9.9658,-2.4659,0.2762,-2.7274,3.9856,-9.9658,2.4412,2.8994,-9.9658,-0.7588,3.4224,-3.1714,-4.6082,-9.9658,-9.9658,-9.9658,0.0718,-9.9658,-2.8262,-9.9658,-9.9658,2.8897,2.3135,-2.0529,2.7508,4.1915,1.1897,-1.9942,-2.6349,-9.9658,1.4174,-9.9658,-2.2447,-9.9658,-1.5951,-9.9658
TCGA-B2-5641-11,-9.9658,-9.9658,-2.4659,4.6317,2.9052,0.3907,4.382,-2.3884,-9.9658,9.3905,-9.9658,-9.9658,5.8284,-9.9658,-9.9658,2.6019,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,2.8994,1.949,1.0293,-9.9658,-9.9658,1.6695,-9.9658,-3.1714,-9.9658,-2.8262,-2.0529,-3.816,-9.9658,-9.9658,-9.9658,7.126,-9.9658,-9.9658,-3.0469,4.7285,-4.035,-2.7274,-1.685,-4.035,6.2625,-9.9658,-0.1031,-9.9658,-9.9658,3.6382,-4.6082,5.6375,-9.9658,-4.2934,-1.0862,4.0153,-9.9658,-3.816,-3.6259,7.227,0.8246,5.7176,-9.9658,-9.9658,-2.114,-1.4305,-9.9658,6.0815,-9.9658,0.7407,-1.5951,-9.9658,-3.0469,2.8897,-0.9406,-6.5064,-9.9658,-9.9658,-9.9658,3.5947,-9.9658,-1.4305,-9.9658,-9.9658,3.3148,4.2389,-2.3147,4.6352,2.971,2.5238,-1.7809,4.5485,-9.9658,3.7486,-9.9658,-3.816,-9.9658,-3.3076,-2.114
GTEX-ZPCL-0126-SM-4WWC8,-9.9658,-9.9658,-9.9658,5.5358,1.9377,-2.3147,5.2354,-3.458,-9.9658,9.8747,-9.9658,-9.9658,5.4081,-9.9658,-1.8314,-4.6082,-2.7274,-9.9658,-9.9658,-9.9658,-2.3884,3.3773,1.7702,2.9618,-9.9658,-9.9658,2.8422,-9.9658,-9.9658,-5.5735,-2.114,-0.0277,-5.5735,-9.9658,-3.816,-9.9658,6.2122,-9.9658,-9.9658,-1.9942,2.9128,-9.9658,-1.4699,-3.458,-9.9658,6.57,-9.9658,-0.7588,-9.9658,-9.9658,2.6325,-9.9658,5.9912,-9.9658,-2.6349,0.1776,5.8276,-9.9658,-3.6259,-2.1779,6.4131,0.7058,7.4523,-9.9658,-9.9658,0.0718,-0.1345,-2.2447,6.247,-9.9658,2.036,-0.3566,-5.0116,-2.3147,3.2541,1.7786,-5.0116,-9.9658,-9.9658,-9.9658,0.9493,-9.9658,-9.9658,-6.5064,-9.9658,2.8897,3.5971,-1.685,2.4359,4.3097,-0.9406,-1.6394,2.7972,-9.9658,3.6748,-9.9658,0.3685,-4.6082,-3.816,-0.4131
TARGET-20-PANGDN-09,-9.9658,-9.9658,-9.9658,4.1376,0.6608,-9.9658,4.322,-5.5735,-9.9658,9.4788,-9.9658,-9.9658,5.3165,-9.9658,-9.9658,4.4582,-9.9658,-9.9658,-4.6082,-9.9658,-4.035,-4.035,0.6699,-0.5332,-9.9658,-9.9658,-2.3884,-9.9658,-1.0262,-9.9658,-3.3076,-3.6259,-6.5064,-9.9658,-5.0116,-9.9658,-2.3147,-9.9658,-9.9658,-6.5064,2.1114,-4.6082,-1.4699,-5.5735,-9.9658,5.6896,1.2394,-3.0469,-9.9658,-9.9658,2.1509,-9.9658,-1.6394,-9.9658,-9.9658,-9.9658,0.605,-9.9658,-9.9658,-9.9658,7.2811,4.0242,2.7357,-9.9658,-9.9658,-0.5973,-4.035,-9.9658,7.3926,-9.9658,-9.9658,-2.2447,-5.5735,-9.9658,1.7097,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-4.6082,-9.9658,-9.9658,4.4881,3.7072,1.9377,3.1685,2.7095,3.4277,-9.9658,-2.6349,-9.9658,1.2875,-9.9658,-2.6349,-9.9658,-6.5064,-9.9658
